ts_submit_dt2,max_concurrent_tasks,aggregation_queries_count,id,total_queries_count,ts_submit,ts_submit_dt
2006-09-19 22:37:54.716000000,1,36,7181430122660903956,145,1158705474716,2006-09-19 22:37:54.716
2006-09-19 22:37:55.120564466,1,37,-6850215107502974893,148,1158706766716,2006-09-19 22:59:26.716
2006-09-19 22:37:55.483169461,65,5,-6958963994053097031,152,1158707924716,2006-09-19 23:18:44.716
2006-09-19 22:37:56.324237695,1,39,2968060732587960756,155,1158710610716,2006-09-20 00:03:30.716
2006-09-19 22:37:56.661792258,1,40,-5769151902591249133,159,1158711688716,2006-09-20 00:21:28.716
2006-09-19 22:37:57.363830597,4,40,-1275215769355517922,162,1158713930716,2006-09-20 00:58:50.716
2006-09-19 22:37:57.522274576,4,41,3751394044191399446,165,1158714436716,2006-09-20 01:07:16.716
2006-09-19 22:37:57.861394791,19,21,3716554695589193108,169,1158715519716,2006-09-20 01:25:19.716
2006-09-19 22:37:58.224312916,4,43,3766278521131173912,172,1158716678716,2006-09-20 01:44:38.716
2006-09-19 22:38:20.739640648,1,44,-4384706520086604978,175,1158788582716,2006-09-20 21:43:02.716
2006-09-19 22:38:21.800839548,1,44,-7101190570887205956,178,1158791971716,2006-09-20 22:39:31.716
2006-09-19 22:38:22.077020554,1,46,1647500880136340276,182,1158792853716,2006-09-20 22:54:13.716
2006-09-19 22:38:23.218380834,1,46,7592491448400773014,185,1158796498716,2006-09-20 23:54:58.716
2006-09-19 22:38:24.546993089,1,47,4275576718493522604,188,1158800741716,2006-09-21 01:05:41.716
2006-09-19 22:38:25.044870413,1,48,-3791354583592615996,191,1158802331716,2006-09-21 01:32:11.716
2006-09-19 22:38:26.027786715,1,48,-7922525155299313360,194,1158805470716,2006-09-21 02:24:30.716
2006-09-19 22:38:27.210167076,1,49,7409348571311799021,197,1158809246716,2006-09-21 03:27:26.716
2006-09-19 22:38:30.066855646,1,50,2692036118895042098,200,1158818369716,2006-09-21 05:59:29.716
2006-09-19 22:38:43.192029172,1,51,-8584289445971469774,203,1158860285716,2006-09-21 17:38:05.716
2006-09-19 22:38:47.048543085,1,52,7736440905615426737,206,1158872601716,2006-09-21 21:03:21.716
2006-09-19 22:38:47.337875567,1,52,3106057907605303922,209,1158873525716,2006-09-21 21:18:45.716
2006-09-19 22:38:47.681066477,1,53,-120823584106113297,212,1158874621716,2006-09-21 21:37:01.716
2006-09-19 22:38:48.423811768,1,54,1886646846594470473,215,1158876993716,2006-09-21 22:16:33.716
2006-09-19 22:39:19.114034654,1,54,1077305882715452167,218,1158975004716,2006-09-23 01:30:04.716
2006-09-19 22:39:19.134074999,1,55,-8686595778845738271,221,1158975068716,2006-09-23 01:31:08.716
2006-09-19 22:40:39.157051811,19,17,366046149771063072,224,1159230626716,2006-09-26 00:30:26.716
2006-09-19 22:40:39.270091883,19,28,7760819024823597449,227,1159230987716,2006-09-26 00:36:27.716
2006-09-19 22:40:59.771991193,65,7,8630650063842825987,230,1159296461716,2006-09-26 18:47:41.716
2006-09-19 22:41:00.903644431,65,9,-3087928060076472085,232,1159300075716,2006-09-26 19:47:55.716
2006-09-19 22:41:02.649972629,146,4,-1037747054080123735,235,1159305652716,2006-09-26 21:20:52.716
2006-09-19 22:41:05.031642393,8,48,-1105394595279119335,238,1159313258716,2006-09-26 23:27:38.716
2006-09-19 22:41:05.494449113,4,60,-3856464781085703586,240,1159314736716,2006-09-26 23:52:16.716
2006-09-19 22:41:05.555509540,4,61,1907239215503229772,243,1159314931716,2006-09-26 23:55:31.716
2006-09-19 22:41:06.152022937,1,62,3035758834314531852,246,1159316836716,2006-09-27 00:27:16.716
2006-09-19 22:41:07.735210201,1,62,2408024837813366071,248,1159321892716,2006-09-27 01:51:32.716
2006-09-19 22:41:07.976633734,1,63,8355271092178343018,251,1159322663716,2006-09-27 02:04:23.716
